################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.7549338647819321E-03   1.0337349556218745E-01   3.2975754019524274E-02   6.5623427321689961E-03
         1          2   7.3811456063844011E-02   2.4692407794644775E-01   1.5502455142584581E-01   9.4046218915295916E-03
         1          3   0.0000000000000000E+00   1.5209212266993302E-02   1.5975812590558137E-05   1.4672779782316260E-04
         1          4   0.0000000000000000E+00   3.7101613972899461E-02   2.0549834437603935E-04   7.6126170858390363E-04
         1          5   6.9004436524164631E-02   4.2426873189624131E-01   1.9012857039852005E-01   3.0862357747802084E-02
         1          6   2.3650550340734786E-01   5.1026337657524490E-01   3.5785467338243410E-01   3.3845323478278171E-02
         1          7   0.0000000000000000E+00   9.6744571186416439E-02   3.9195084127492593E-04   1.5849421032396998E-03
         1          8   0.0000000000000000E+00   1.6449819844373167E-01   2.6177685178686719E-03   7.7772102346727505E-03
         1          9   2.3961757114251703E-01   1.0419710369326853E+00   5.2974872450116983E-01   1.0778597836141690E-01
         1         10   2.2994605021667897E-01   6.1753673215318849E-01   3.9388897868486156E-01   8.1089091224488416E-02
         1         11   0.0000000000000000E+00   2.2643772243302054E-01   4.2771104036392676E-03   1.0623887971039457E-02
         1         12   0.0000000000000000E+00   2.6831910710411011E-01   1.3626852821062076E-02   3.3285957004575040E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   9.0110059011316612E-01   1.9458002118578013E-01
         1         14   6.6950430593678778E-02   7.9002705434426179E-01   3.7428022428569474E-01   1.0110940313433002E-01
         1         15   0.0000000000000000E+00   3.4629863690360091E-01   2.0278253050106696E-02   3.8448331382825003E-02
         1         16   0.0000000000000000E+00   3.7082041111116393E-01   3.1182911751010053E-02   6.1205105123857587E-02
         1         17   1.3553708981177939E-01   2.0172003183678311E+00   1.1025089510333068E+00   2.0890322223864305E-01
         1         18   4.4117589701607347E-02   9.7978243905857831E-01   4.9125027872641897E-01   1.1939896425935244E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   4.2427109850769647E-02   6.6664329236326078E-02
         1         20   0.0000000000000000E+00   4.0575964746724380E-01   3.8477169148560926E-02   5.6432409623206989E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0532476161708473E+00   1.7028341036200187E-01
