################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7023749256517604E-01 a         1     0     1     1     1
 -2.8335931237197022E-03 a         2     0     1     1     2
 -1.2491645986243392E-01 a         3     0     1     1     3
 -1.9080849075977901E-01 a         4     0     1     1     4
 -2.7212019494201111E-02 a         5     0     1     1     5
 -1.2850496973142961E-01 a         6     0     1     1     6
 -2.4472252786618801E-02 a         7     0     1     1     7
  5.1760977078541368E-02 a         8     0     1     1     8
 -8.5470838402682131E-02 a         9     0     1     1     9
  1.8875760965475713E-01 a        10     0     1     1    10
  8.3411416678569078E-02 a        11     0     1     1    11
 -3.2294595851398662E-02 a        12     0     1     1    12
  3.4762932839725563E-02 a        13     0     1     1    13
 -2.5721413932871262E-01 a        14     0     1     1    14
  1.5795843529475806E-01 a        15     0     1     1    15
 -1.2245041886560424E-02 a        16     0     1     1    16
 -1.3182089029821892E-01 a        17     0     1     1    17
  4.4423179931095146E-02 a        18     0     1     1    18
  8.6964693457747558E-02 a        19     0     1     1    19
  6.9259024104038544E-02 a        20     0     1     1    20
 -2.6897059280318533E-02 a        21     0     1     1    21
  5.4744091088314767E-02 a        22     0     1     1    22
  1.7598687470656726E-01 a        23     0     1     1    23
 -2.7041733538689672E-01 a        24     0     1     1    24
 -3.3996682989471327E-01 a        25     0     1     1    25
  4.0253534418607573E-02 a        26     0     2     1     1
 -7.7462039743497191E-02 a        27     0     2     1     2
  4.3374032667201363E-02 a        28     0     2     1     3
  1.5621445711750742E-01 a        29     0     2     1     4
  3.1623244488474056E-01 a        30     0     2     1     5
  1.4837285075952897E-01 a        31     0     2     1     6
 -1.2887801973451266E-01 a        32     0     2     1     7
 -1.0251675239132706E-01 a        33     0     2     1     8
 -2.2107604030134974E-02 a        34     0     2     1     9
 -9.8821324504617017E-02 a        35     0     2     1    10
 -1.4400668878623435E-01 a        36     0     2     1    11
 -3.3150168820863628E-02 a        37     0     2     1    12
 -3.3005741037656511E-01 a        38     0     2     1    13
 -1.9640989956239313E-01 a        39     0     2     1    14
  6.7662041019721175E-02 a        40     0     2     1    15
  1.6725495886773795E-01 a        41     0     2     1    16
  2.7995289559902997E-01 a        42     0     2     1    17
  1.6527142963226255E-01 a        43     0     2     1    18
 -1.3299254312316788E-01 a        44     0     2     1    19
  1.9074121221770571E-01 a        45     0     2     1    20
  9.8804603470182772E-02 a        46     0     2     1    21
 -1.3405223025785268E-01 a        47     0     2     1    22
 -1.5257794866853988E-01 a        48     0     2     1    23
 -3.5871681424727138E-02 a        49     0     2     1    24
  8.0355600843476427E-02 a        50     0     2     1    25
 -1.3954274897092753E-01 a        51     0     3     1     1
  9.8079512695063709E-02 a        52     0     3     1     2
  1.7624250033577801E-02 a        53     0     3     1     3
 -1.9013593503948517E-01 a        54     0     3     1     4
 -8.2571095473147380E-02 a        55     0     3     1     5
  3.5962227012072551E-01 a        56     0     3     1     6
 -6.9174871423617387E-03 a        57     0     3     1     7
 -4.8647705807491594E-02 a        58     0     3     1     8
 -1.8638746784541360E-01 a        59     0     3     1     9
 -5.0963803970869921E-02 a        60     0     3     1    10
 -1.5617519357137560E-01 a        61     0     3     1    11
  1.3179097838662537E-01 a        62     0     3     1    12
  7.6747473760662710E-02 a        63     0     3     1    13
  1.7842359229373400E-01 a        64     0     3     1    14
 -2.1715369408530558E-01 a        65     0     3     1    15
  2.8060964441925207E-01 a        66     0     3     1    16
  2.0778828807601032E-01 a        67     0     3     1    17
 -1.7367374777205593E-02 a        68     0     3     1    18
  8.9629169757933416E-03 a        69     0     3     1    19
  2.6415830309324408E-02 a        70     0     3     1    20
 -6.1844901167546332E-02 a        71     0     3     1    21
  5.8633856279796233E-02 a        72     0     3     1    22
