################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1879316248318592E-01 a         1     0     1     1     1
  3.6792854545358517E-01 a         2     0     1     1     2
  4.2358916635635790E-01 a         3     0     1     1     3
 -9.0668156053316451E-01 a         4     0     1     1     4
 -5.6112930379678516E-02 a         5     0     1     1     5
 -3.2582843756103003E-01 a         6     0     1     1     6
  9.1258792166405658E-02 a         7     0     1     1     7
 -9.5948536843804288E-01 a         8     0     1     1     8
 -5.9035587692692426E-01 a         9     0     1     1     9
  2.8057057110014583E-01 a        10     0     1     1    10
 -4.1044149778756234E-01 a        11     0     1     1    11
  2.6555455018745105E-02 a        12     0     1     1    12
 -5.6433271288973097E-01 a        13     0     1     1    13
  8.3520431861002539E-02 a        14     0     1     1    14
  8.8621264686502485E-03 a        15     0     1     1    15
  3.6515864155872763E-01 a        16     0     1     1    16
  2.7377999198641778E-01 a        17     0     1     1    17
  2.1072129814192248E-01 a        18     0     1     1    18
  3.4892714124581677E-02 a        19     0     1     1    19
  7.6087410808146197E-02 a        20     0     1     1    20
  5.8155525572911870E-02 a        21     0     2     1     1
  9.7190550311560459E-02 a        22     0     2     1     2
 -5.3605730554758646E-01 a        23     0     2     1     3
  9.1987289512670478E-01 a        24     0     2     1     4
  3.8849220003003881E-01 a        25     0     2     1     5
  6.4311766427810879E-01 a        26     0     2     1     6
 -2.8007730133190678E-01 a        27     0     2     1     7
  1.5013447276460443E+00 a        28     0     2     1     8
  1.0713812138757566E+00 a        29     0     2     1     9
  5.1704029926236550E-01 a        30     0     2     1    10
  4.4983439337106607E-01 a        31     0     2     1    11
  8.6742662468219961E-02 a        32     0     2     1    12
 -1.0449847979484100E-01 a        33     0     2     1    13
  4.9650911006371107E-01 a        34     0     2     1    14
  2.1490595056936915E-01 a        35     0     2     1    15
 -3.6578905216852482E-02 a        36     0     2     1    16
 -4.0149302263362774E-01 a        37     0     2     1    17
 -9.6760211317857225E-02 a        38     0     2     1    18
 -6.1948741521984785E-01 a        39     0     2     1    19
  2.4586017086999340E-01 a        40     0     2     1    20
  5.6903446525636350E-02 a        41     0     3     1     1
 -2.8411608521871767E-01 a        42     0     3     1     2
  2.2290336238749775E-01 a        43     0     3     1     3
 -2.3083860938019732E-01 a        44     0     3     1     4
  4.4434296056653291E-02 a        45     0     3     1     5
 -4.9399597125771721E-01 a        46     0     3     1     6
 -5.1726736632278891E-01 a        47     0     3     1     7
 -1.1249914031985861E-01 a        48     0     3     1     8
 -2.3882906701489293E-01 a        49     0     3     1     9
 -1.4056738858376613E-01 a        50     0     3     1    10
  2.6622635216591489E-01 a        51     0     3     1    11
  1.5982332087058085E-01 a        52     0     3     1    12
  4.8971121122457700E-01 a        53     0     3     1    13
 -7.1399654729870740E-02 a        54     0     3     1    14
  1.3694693196856744E-01 a        55     0     3     1    15
  2.7803305620887325E-01 a        56     0     3     1    16
  2.8753717074103591E-01 a        57     0     3     1    17
  2.0703733136058367E-01 a        58     0     3     1    18
  2.7473475507353146E-01 a        59     0     3     1    19
  1.1794743377568308E-01 a        60     0     3     1    20
  4.0386968920121002E-01 a        61     0     4     1     1
 -9.9735136626332738E-02 a        62     0     4     1     2
 -3.5803145661378932E-01 a        63     0     4     1     3
 -2.7962773078589570E-01 a        64     0     4     1     4
  3.5732424783063960E-01 a        65     0     4     1     5
  5.6344938982669079E-01 a        66     0     4     1     6
  3.6264211928728518E-01 a        67     0     4     1     7
  2.0600407902500756E-01 a        68     0     4     1     8
  1.7402881848016799E-01 a        69     0     4     1     9
 -5.4688579049018660E-01 a        70     0     4     1    10
 -1.7700476592597239E-01 a        71     0     4     1    11
 -2.3867732057686919E-01 a        72     0     4     1    12
 -6.4347007173437498E-02 a        73     0     4     1    13
 -4.4625504693968709E-01 a        74     0     4     1    14
 -3.5976351797245054E-01 a        75     0     4     1    15
 -1.3359670293375143E+00 a        76     0     4     1    16
  1.1130932152916594E-01 a        77     0     4     1    17
 -9.7672162625520434E-02 a        78     0     4     1    18
  3.3639494394964048E-01 a        79     0     4     1    19
  2.4676172533576436E-02 a        80     0     4     1    20
 -1.1603313242370628E-01 a        81     0     5     1     1
 -3.0040786323114321E-01 a        82     0     5     1     2
 -4.8456732675429201E-02 a        83     0     5     1     3
  8.5574059150473902E-01 a        84     0     5     1     4
  1.8378578900188835E-03 a        85     0     5     1     5
 -2.4030744705155027E-01 a        86     0     5     1     6
 -4.8779564962707361E-01 a        87     0     5     1     7
  2.9784395042232428E-02 a        88     0     5     1     8
  4.4367089992667580E-01 a        89     0     5     1     9
 -1.8912112180585716E-01 a        90     0     5     1    10
  1.0336790471485409E-01 a        91     0     5     1    11
  1.1360716567480021E-01 a        92     0     5     1    12
 -2.1950330366187820E-01 a        93     0     5     1    13
  4.5031114937149752E-01 a        94     0     5     1    14
  1.4215030877380443E-02 a        95     0     5     1    15
  1.2439998045895416E-01 a        96     0     5     1    16
 -6.1935540946074596E-01 a        97     0     5     1    17
  2.3492585961907200E-01 a        98     0     5     1    18
 -1.4530771103823925E-01 a        99     0     5     1    19
 -2.2823173735499769E-01 a       100     0     5     1    20
  1.4498115637887163E-01 a       101     0     6     1     1
 -1.1124960574752296E-01 a       102     0     6     1     2
  6.8164641144690796E-01 a       103     0     6     1     3
 -1.3694608734078559E-01 a       104     0     6     1     4
 -6.0553457249578307E-02 a       105     0     6     1     5
 -3.5660443834366817E-01 a       106     0     6     1     6
  1.8874787402046747E-01 a       107     0     6     1     7
 -3.3697307889211137E-01 a       108     0     6     1     8
 -5.3356722504127052E-01 a       109     0     6     1     9
 -3.0702000163738413E-01 a       110     0     6     1    10
  1.4642655093997078E-01 a       111     0     6     1    11
  3.0072168230278539E-02 a       112     0     6     1    12
 -1.7196382035520035E-03 a       113     0     6     1    13
 -4.4231960622848304E-01 a       114     0     6     1    14
  2.1654473670303784E-01 a       115     0     6     1    15
 -5.7740148812422964E-01 a       116     0     6     1    16
 -3.0931876713367154E-02 a       117     0     6     1    17
  1.8620761801040803E-01 a       118     0     6     1    18
  3.6675863099200248E-02 a       119     0     6     1    19
 -2.0827402069515819E-01 a       120     0     6     1    20
  9.0648056109007683E-02 a       121     0     7     1     1
  1.9458652558332706E-01 a       122     0     7     1     2
  8.8405169128741093E-02 a       123     0     7     1     3
  2.4492575379787523E-01 a       124     0     7     1     4
 -9.5909495583076362E-02 a       125     0     7     1     5
  4.3173068113523921E-02 a       126     0     7     1     6
  3.6282165365955571E-01 a       127     0     7     1     7
  5.0332359613122957E-01 a       128     0     7     1     8
  5.7710545654521564E-02 a       129     0     7     1     9
 -2.6876604782281632E-01 a       130     0     7     1    10
 -6.4197189241706498E-01 a       131     0     7     1    11
 -7.2145982048812374E-01 a       132     0     7     1    12
  1.7788088205744146E-01 a       133     0     7     1    13
  2.2328686331560249E-01 a       134     0     7     1    14
 -2.5652510968307995E-01 a       135     0     7     1    15
  1.1807332645302011E-01 a       136     0     7     1    16
  4.0294339599183993E-01 a       137     0     7     1    17
 -4.3669196725561543E-01 a       138     0     7     1    18
  5.1831953311195522E-01 a       139     0     7     1    19
 -2.0293739964209320E-01 a       140     0     7     1    20
 -1.0160986499678117E-01 a       141     0     8     1     1
 -3.0287661664172449E-01 a       142     0     8     1     2
  1.3142256707246208E-01 a       143     0     8     1     3
  7.3682092358808471E-01 a       144     0     8     1     4
 -2.6405401582543737E-02 a       145     0     8     1     5
  6.9862375076221106E-01 a       146     0     8     1     6
 -5.6724558388345565E-02 a       147     0     8     1     7
  1.3797050151114240E-01 a       148     0     8     1     8
  6.4591328135666107E-02 a       149     0     8     1     9
  4.6340074682831500E-01 a       150     0     8     1    10
 -6.8890141856670106E-01 a       151     0     8     1    11
  3.0466347494967133E-01 a       152     0     8     1    12
  8.8932639614098488E-02 a       153     0     8     1    13
  5.6124914410472071E-02 a       154     0     8     1    14
 -3.1941731865207358E-02 a       155     0     8     1    15
  7.3293114314065366E-01 a       156     0     8     1    16
  3.8161364058728497E-01 a       157     0     8     1    17
 -4.1784365617374086E-02 a       158     0     8     1    18
 -3.0112020775906573E-01 a       159     0     8     1    19
  1.5343309887735643E-01 a       160     0     8     1    20
 -3.5286808505191419E-01 a       161     0     9     1     1
  2.1630854337435640E-01 a       162     0     9     1     2
 -7.4399972186516353E-02 a       163     0     9     1     3
 -1.3011215288039618E-01 a       164     0     9     1     4
 -1.9447591007742998E-01 a       165     0     9     1     5
  3.2247228938547828E-01 a       166     0     9     1     6
  5.8585367874610361E-01 a       167     0     9     1     7
  1.4594989660260657E-01 a       168     0     9     1     8
  3.8119307398446195E-01 a       169     0     9     1     9
  1.7754343821671992E-01 a       170     0     9     1    10
  4.1594841759403417E-01 a       171     0     9     1    11
 -4.7318473049839593E-01 a       172     0     9     1    12
  3.8404243451009595E-01 a       173     0     9     1    13
  5.8844708768452748E-02 a       174     0     9     1    14
  4.8473579433120317E-01 a       175     0     9     1    15
 -5.1811089924221942E-01 a       176     0     9     1    16
 -4.5474365615167189E-01 a       177     0     9     1    17
 -3.4724434103245932E-01 a       178     0     9     1    18
  5.3425672484921560E-01 a       179     0     9     1    19
 -6.1130498154794943E-01 a       180     0     9     1    20
  9.3511222637306018E-02 a       181     0    10     1     1
