################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.8655329382224032E-01   3.6364355962665180E+00   2.2119784681576466E+00   3.8982164788324686E-01
         1          2   3.5699082862581144E-01   2.0031124569208267E+00   1.2994521098968672E+00   1.9314919398541502E-01
         1          3   2.4253583906212917E-01   2.6983010627072188E+00   1.6071345237783126E+00   2.8699477114001432E-01
         1          4   3.3542904629093495E-01   1.5372546465126264E+00   9.9744101045215450E-01   1.4138420759838038E-01
         1          5   1.8503709795923420E-01   1.5491787211705357E+00   8.9011559742158164E-01   1.6054085816870253E-01
         1          6   2.8986050983056133E-01   9.5851457739199852E-01   6.4070535049617894E-01   7.7829435282255846E-02
         1          7   1.2998738560021622E-01   8.1181447628465786E-01   4.5034968386667051E-01   7.9668681985816336E-02
         1          8   2.3854599156072026E-01   5.8192272360200603E-01   4.2158764571359925E-01   4.0539426354469256E-02
         1          9   2.2019401469736052E-01   4.9816927636901054E-01   3.6305272944627826E-01   3.1419040668322989E-02
         1         10   1.7723908244726444E-01   1.0169045685317621E+00   5.3120597962909599E-01   9.6163510042368838E-02
         1         11   1.5931165210644979E-01   3.9224005962648778E-01   2.7312983872261587E-01   2.0878706459599532E-02
         1         12   1.0106474384096639E-01   6.8318193294241025E-01   2.9555524220090690E-01   5.2779720067391199E-02
         1         13   7.4340659297091619E-02   3.2028897659649835E-01   1.9454657712167578E-01   2.2645835164129168E-02
         1         14   2.7867297613902112E-02   4.8859027683498957E-01   1.5882253801165483E-01   3.7102407780211254E-02
         1         15   6.0765964821426774E-03   2.6933341009926554E-01   8.7030393842343651E-02   2.3954982883266990E-02
         1         16   8.6176614291566273E-04   3.2616869984647917E-01   5.8437222538056943E-02   3.2524425477896149E-02
         1         17   2.3905486661473520E-08   3.7621880078986758E-02   1.7099399409671343E-02   5.6190834887742307E-03
         1         18   5.7485161297593659E-05   5.6704347475877770E-02   2.0751242479452554E-02   7.2790207725134401E-03
         1         19   3.7937631629716383E-06   4.4789516076805022E-02   1.6338823698107977E-02   5.6967712606261593E-03
         1         20   2.4960312085019903E-02   2.7218197030245517E-01   1.3743696285440926E-01   2.8868015901657530E-02
         1         21   2.2980773998953256E-03   4.9986220828384470E-02   1.6950824167726739E-02   5.4132966616364979E-03
         1         22   2.0814361457387778E-07   1.7422614782322748E-02   5.8877295715452872E-03   2.3169759281881199E-03
         1         23   2.3616425302076981E-02   1.4766564930840750E-01   7.8026009579545183E-02   1.4328402520229612E-02
         1         24   9.3734209417262540E-06   1.2706009724968383E-02   3.8602266983488284E-03   1.5349222936123003E-03
         1         25   6.7292482219397467E-04   1.3437347615997143E-02   3.5879997188162089E-03   1.0083099406231041E-03
         1         26   8.9492218473814448E-03   4.7435519247870893E-02   2.4574480321592797E-02   3.7562620321718062E-03
         1         27   2.9688834832940051E-04   1.0922315444849038E-02   2.4362779164791813E-03   7.5891040984896988E-04
         2          1   7.1532528297088083E-01   4.0098976770174595E+00   2.5989042197937415E+00   3.8240252948890446E-01
         2          2   5.6301628567420527E-02   1.6234842194053070E+00   9.3805754679203701E-01   1.8736449645838249E-01
         2          3   6.5703695712707699E-01   3.0791315022675048E+00   1.9948820209043101E+00   2.7857971836047041E-01
         2          4   3.1024606077905838E-02   1.1551308858105025E+00   6.4059931260962977E-01   1.3511922517043443E-01
         2          5   5.8421509973169194E-01   1.9420240206857451E+00   1.2814107009923568E+00   1.5028032758626403E-01
         2          6   8.7055091560538176E-03   5.7824321471805962E-01   2.9826715576421947E-01   6.8317345917310285E-02
         2          7   4.9061923640751393E-01   1.1928444832852640E+00   8.4317529142720071E-01   7.3313958696519993E-02
         2          8   1.4113901292375167E-03   2.2139468783209257E-01   1.0800688415169930E-01   2.7030088273230106E-02
         2          9   4.9849874092941715E-01   9.8733752198909885E-01   7.2610545889255584E-01   5.0426765272671668E-02
         2         10   6.2957062567264221E-03   9.5794186401597337E-01   4.6455014321576582E-01   1.1560059533210584E-01
         2         11   3.6577588459988464E-01   7.7230200150326977E-01   5.4625967744523218E-01   3.4592870857211661E-02
         2         12   8.7085544804932510E-04   6.5807276191584230E-01   3.0944891033609356E-01   8.5000814741669789E-02
         2         13   1.8948992752075242E-01   5.7888624801215693E-01   3.8909315424335067E-01   3.4526650397125457E-02
         2         14   1.5622199228642329E-05   4.9780490905368319E-01   1.6953376146057852E-01   6.2315791454946423E-02
         2         15   3.3004285384528591E-02   4.0762166080748574E-01   1.7406078768468752E-01   3.4501395384272764E-02
         2         16   1.0729012446445082E-10   2.7047079448224992E-01   4.4653384790197932E-02   3.1107465231072693E-02
         2         17   1.0846205849416071E-05   3.9543401427987353E-02   1.5074459823996005E-02   4.7702333660869598E-03
         2         18   7.4829063908554593E-11   2.5884908058550057E-03   6.5717634939948730E-04   3.2655127951477001E-04
         2         19   3.6205850570885452E-03   4.3221294145342604E-01   1.8756542069538715E-01   5.3162621310716439E-02
         2         20   3.8440097917265245E-07   3.6534575078121363E-02   9.8772821155134853E-03   5.2062500369707198E-03
         2         21   2.6911400517410067E-03   6.4611970894949161E-02   2.9305443392707024E-02   6.1496063694628364E-03
         2         22   1.2827584708500362E-03   1.7529487759454226E-01   6.8509716444031268E-02   2.2077211658804420E-02
         2         23   1.5545977333502778E-02   9.9331349879191635E-02   4.7998454143224942E-02   8.6592611829803094E-03
         2         24   1.5745634781781375E-05   1.9308534172604155E-02   6.0894070240362390E-03   2.3678290544763840E-03
         2         25   8.5856663153437229E-11   1.3944217824039388E-03   2.2274994125481335E-04   1.8366900313163573E-04
         2         26   9.1829498430736033E-03   1.1557634414039414E-01   4.6978379604047084E-02   1.2100545333930826E-02
         2         27   1.7898602665033226E-04   8.1694699794021677E-02   3.2902418055540186E-02   9.9562973177386733E-03
         2         28   7.4320386544780976E-10   3.9418035349310827E-03   6.3479370917995839E-04   5.2607016457668465E-04
         2         29   6.3415719088815280E-03   3.9243185159612948E-02   1.6708820854971284E-02   2.8310386784518964E-03
