# revision runtime_errors wrong_results new_inputs memory_leaks
12167 0 0 0 0
12168 0 0 0 0
12169 0 0 0 0
12170 0 0 0 0
12171 0 0 0 0
12172 0 0 0 0
12173 0 0 0 0
12174 0 0 0 0
12175 0 0 0 0
12176 0 0 0 0
12179 0 0 0 0
12188 40 0 0 33
12189 0 0 0 34
12190 0 0 0 24
12191 0 0 0 0
12192 0 0 0 0
12195 0 0 0 0
12196 0 0 0 0
12197 0 0 0 0
12198 0 2 0 0
12199 0 0 0 0
12202 0 0 0 0
12203 3 1 1 0
12205 0 2 0 0
12206 0 1 0 0
12207 0 1 0 0
12208 0 1 0 0
12209 0 1 0 0
12210 0 0 1 0
12211 0 0 0 0
12212 0 0 0 0
12213 0 0 0 0
12214 0 0 0 0
12215 0 0 0 0
12216 0 0 0 0
12217 0 0 0 0
12219 0 0 0 0
12220 0 0 0 0
12221 0 0 0 0
12229 0 1 3 0
12230 0 0 1 0
12232 0 0 40 40
12233 0 0 0 2
12235 0 0 0 2
12238 0 0 5 2
12241 0 0 0 2
12242 0 0 0 0
12243 0 0 0 0
12244 0 0 0 0
12245 0 0 12 0
12247 0 0 0 0
12249 0 0 0 0
12250 0 0 0 0
12251 0 0 0 0
12252 0 0 0 0
12253 0 0 8 0
12255 0 0 1 0
12256 0 0 0 0
12257 0 3 0 0
12258 0 3 0 0
12259 0 0 3 0
12260 0 0 0 0
12261 0 0 0 0
12262 0 0 0 0
12264 0 0 1 0
12265 0 0 0 0
12266 0 0 0 0
12267 0 0 0 0
12269 0 0 0 0
12271 0 0 1 0
12297 5 3 18 0
12298 0 16 5 0
12299 0 0 16 0
12301 0 0 4 0
12303 0 0 0 0
12304 0 1 5 0
12305 0 0 1 0
12306 0 0 0 0
12308 0 0 3 0
12310 0 0 12 0
12311 0 0 0 0
12312 0 0 0 0
12314 0 0 0 0
12318 0 0 0 0
12320 0 0 20 0
12324 0 0 2 0
12326 0 0 0 0
12327 0 0 0 0
12328 0 0 0 0
12329 0 0 0 0
12330 0 0 0 0
12331 0 0 0 0
12332 0 0 2 0
12334 0 0 0 0
12337 0 0 0 0
12338 0 0 1 0
12339 0 0 0 0
12340 0 0 0 0
12341 0 0 0 0
12346 0 0 1 0
12347 0 1 10 31
12349 0 1 0 31
12351 0 1 0 32
12352 0 0 0 32
12354 0 0 0 31
12356 0 0 0 0
12358 0 0 0 0
12359 0 0 0 0
12360 0 0 0 0
12361 0 0 0 0
