# energy(eV) intensity(au)
3.000000 2.242715e-02
3.005005 7.232372e-03
3.010010 3.924841e-03
3.015015 3.194301e-03
3.020020 6.256872e-03
3.025025 5.037898e-02
3.030030 3.462860e-03
3.035035 1.732943e-03
3.040040 1.441618e-03
3.045045 1.973242e-03
3.050050 1.409377e-02
3.055055 4.737379e-03
3.060060 1.931754e-03
3.065065 2.146099e-03
3.070070 3.515743e-03
3.075075 9.400914e-03
3.080080 1.152884e-01
3.085085 3.079798e-02
3.090090 6.052851e-03
3.095095 2.895515e-03
3.100100 2.078233e-03
3.105105 2.051915e-03
3.110110 5.095780e-03
3.115115 3.095592e-03
3.120120 3.117923e-03
3.125125 5.075933e-03
3.130130 1.142701e-02
3.135135 5.407666e-02
3.140140 4.295458e-01
3.145145 2.438324e-02
3.150150 7.872183e-03
3.155155 4.208125e-03
3.160160 3.296400e-03
3.165165 5.967383e-03
3.170170 4.279888e-02
3.175175 3.222096e-03
3.180180 1.710302e-03
3.185185 1.473885e-03
3.190190 2.071039e-03
3.195195 1.611458e-02
3.200200 4.630589e-03
3.205205 1.909282e-03
3.210210 2.036178e-03
3.215215 3.235111e-03
3.220220 8.521947e-03
3.225225 1.068531e-01
3.230230 2.664173e-02
3.235235 5.364242e-03
3.240240 2.603281e-03
3.245245 1.890051e-03
3.250250 1.852493e-03
3.255255 4.089372e-03
3.260260 2.593939e-03
3.265265 2.803512e-03
3.270270 4.570232e-03
3.275275 1.025447e-02
3.280280 4.901232e-02
3.285285 3.617118e-01
3.290290 2.126556e-02
3.295295 6.925663e-03
3.300300 3.684169e-03
3.305305 2.789561e-03
3.310310 4.480065e-03
3.315315 2.748968e-02
3.320320 2.415372e-03
3.325325 1.427586e-03
3.330330 1.292519e-03
3.335335 1.836237e-03
3.340340 1.486105e-02
3.345345 3.772597e-03
3.350350 1.610808e-03
3.355355 1.619699e-03
3.360360 2.401645e-03
3.365365 5.962099e-03
3.370370 7.453033e-02
3.375375 1.746708e-02
3.380380 3.741794e-03
3.385385 1.934668e-03
3.390390 1.477925e-03
3.395395 1.459340e-03
3.400400 2.631528e-03
3.405405 1.847752e-03
3.410410 2.107689e-03
3.415415 3.309835e-03
3.420420 7.123151e-03
3.425425 3.358097e-02
3.430430 2.288917e-01
3.435435 1.417444e-02
3.440440 4.837568e-03
3.445445 2.696562e-03
3.450450 2.059554e-03
3.455455 2.717625e-03
3.460460 1.230320e-02
3.465465 1.637343e-03
3.470470 1.222649e-03
3.475475 1.187887e-03
3.480480 1.573549e-03
3.485485 1.066267e-02
3.490490 2.733671e-03
3.495495 1.423812e-03
3.500501 1.364013e-03
3.505506 1.713831e-03
3.510511 3.324293e-03
3.515516 3.539772e-02
3.520521 8.234709e-03
3.525526 2.326956e-03
3.530531 1.555329e-03
3.535536 1.385628e-03
3.540541 1.416908e-03
3.545546 1.822623e-03
3.550551 1.590226e-03
3.555556 1.775166e-03
3.560561 2.345748e-03
3.565566 4.070883e-03
