# energy(eV) intensity(au)
3.000000 2.000801e-04
3.008347 2.194803e-04
3.016694 2.406837e-04
3.025042 2.638496e-04
3.033389 2.891511e-04
3.041736 3.167750e-04
3.050083 3.469239e-04
3.058431 3.798168e-04
3.066778 4.156904e-04
3.075125 4.548005e-04
3.083472 4.974235e-04
3.091820 5.438575e-04
3.100167 5.944245e-04
3.108514 6.494715e-04
3.116861 7.093724e-04
3.125209 7.745303e-04
3.133556 8.453788e-04
3.141903 9.223847e-04
3.150250 1.006050e-03
3.158598 1.096914e-03
3.166945 1.195556e-03
3.175292 1.302599e-03
3.183639 1.418709e-03
3.191987 1.544603e-03
3.200334 1.681047e-03
3.208681 1.828863e-03
3.217028 1.988929e-03
3.225376 2.162185e-03
3.233723 2.349636e-03
3.242070 2.552355e-03
3.250417 2.771488e-03
3.258765 3.008257e-03
3.267112 3.263963e-03
3.275459 3.539995e-03
3.283806 3.837828e-03
3.292154 4.159035e-03
3.300501 4.505285e-03
3.308848 4.878351e-03
3.317195 5.280116e-03
3.325543 5.712576e-03
3.333890 6.177846e-03
3.342237 6.678167e-03
3.350584 7.215910e-03
3.358932 7.793580e-03
3.367279 8.413825e-03
3.375626 9.079439e-03
3.383973 9.793369e-03
3.392321 1.055872e-02
3.400668 1.137876e-02
3.409015 1.225694e-02
3.417362 1.319686e-02
3.425710 1.420232e-02
3.434057 1.527731e-02
3.442404 1.642599e-02
3.450751 1.765275e-02
3.459098 1.896214e-02
3.467446 2.035897e-02
3.475793 2.184820e-02
3.484140 2.343506e-02
3.492487 2.512496e-02
3.500835 2.692356e-02
3.509182 2.883673e-02
3.517529 3.087057e-02
3.525876 3.303140e-02
3.534224 3.532580e-02
3.542571 3.776056e-02
3.550918 4.034270e-02
3.559265 4.307949e-02
3.567613 4.597840e-02
3.575960 4.904717e-02
3.584307 5.229372e-02
3.592654 5.572622e-02
3.601002 5.935306e-02
3.609349 6.318281e-02
3.617696 6.722427e-02
3.626043 7.148643e-02
3.634391 7.597846e-02
3.642738 8.070970e-02
3.651085 8.568967e-02
3.659432 9.092804e-02
3.667780 9.643459e-02
3.676127 1.022193e-01
3.684474 1.082921e-01
3.692821 1.146631e-01
3.701169 1.213426e-01
3.709516 1.283407e-01
3.717863 1.356677e-01
3.726210 1.433339e-01
3.734558 1.513494e-01
3.742905 1.597245e-01
3.751252 1.684692e-01
3.759599 1.775936e-01
3.767947 1.871074e-01
3.776294 1.970204e-01
3.784641 2.073421e-01
3.792988 2.180817e-01
3.801336 2.292482e-01
3.809683 2.408502e-01
3.818030 2.528961e-01
3.826377 2.653940e-01
3.834725 2.783513e-01
3.843072 2.917751e-01
3.851419 3.056720e-01
3.859766 3.200483e-01
3.868114 3.349093e-01
3.876461 3.502600e-01
3.884808 3.661047e-01
3.893155 3.824470e-01
3.901503 3.992898e-01
3.909850 4.166352e-01
3.918197 4.344845e-01
3.926544 4.528383e-01
3.934891 4.716963e-01
3.943239 4.910572e-01
3.951586 5.109190e-01
3.959933 5.312784e-01
3.968280 5.521314e-01
3.976628 5.734730e-01
3.984975 5.952971e-01
3.993322 6.175966e-01
4.001669 6.403632e-01
4.010017 6.635878e-01
4.018364 6.872599e-01
4.026711 7.113680e-01
4.035058 7.358998e-01
4.043406 7.608413e-01
4.051753 7.861780e-01
4.060100 8.118939e-01
4.068447 8.379721e-01
4.076795 8.643945e-01
4.085142 8.911419e-01
4.093489 9.181943e-01
4.101836 9.455303e-01
4.110184 9.731278e-01
4.118531 1.000964e+00
4.126878 1.029014e+00
4.135225 1.057253e+00
4.143573 1.085655e+00
4.151920 1.114194e+00
4.160267 1.142841e+00
